name_q,name_c,ID_q,ID_c,Score,combination
Google Maps,8tracks,0,8,1,2
Google Maps,AOL Instant Messenger,0,10,1,2
Google Maps,iTunes and iTunes Connect,0,11,1,2
Google Maps,Ustream.TV,0,13,1,2
Google Maps,AddThis Analytics,0,15,1,2
Google Maps,AddThis Menu,0,16,1,8
Google Maps,AddThis Services,0,18,1,2
Google Maps,Adobe Social,0,19,1,2
Google Maps,Agendize Action,0,21,1,2
Google Maps,Cafe Press,0,24,1,4
Google Maps,Amazon CloudWatch,0,26,1,4
Google Maps,Amazon Fulfillment Web Service,0,29,1,2
Google Maps,Amazon RDS Relational Database Service,0,30,1,2
Google Maps,Amazonca,0,34,1,2
Google Maps,ProgrammableWeb,0,38,1,2
Google Maps,Ordnance Survey OpenSpace,0,44,1,4
Google Maps,Whereis,0,53,1,2
Google Maps,BackTweets,0,57,1,2
Google Maps,Bandsintown,0,59,1,2
Google Maps,Best Buy Products,0,63,1,2
Google Maps,Microsoft Bing,0,67,1,6
Google Maps,Bing,0,68,1,14
Google Maps,Microsoft Bing Maps,0,69,1,60
Google Maps,Bit.ly,0,71,1,10
Google Maps,BlankSlate,0,78,1,4
Google Maps,Yahoo BOSS,0,84,1,8
Google Maps,Box,0,86,1,2
Google Maps,Brown Paper Tickets,0,89,1,2
Google Maps,CitySourced,0,104,1,2
Google Maps,ClearForest Semantic Web Services1,0,105,1,2
Google Maps,sletoh.com,0,115,1,6
Google Maps,CorpWatch,0,116,1,2
Google Maps,CrowdFlower,0,119,1,2
Google Maps,CrunchBase,0,120,1,8
Google Maps,Ontok,0,128,1,4
Google Maps,Deal Magic,0,133,1,2
Google Maps,Dezrez,0,135,1,2
Google Maps,DHL,0,136,1,2
Google Maps,DonorsChoose,0,142,1,2
Google Maps,Dropbox,0,145,1,2
Google Maps,Earth911 Search,0,146,1,2
Google Maps,eBay Finding,0,147,1,2
Google Maps,eBay,0,148,1,98
Google Maps,Education.com,0,150,1,2
Google Maps,Etsy,0,157,1,2
Google Maps,Eventbrite,0,159,1,2
Google Maps,Eventful,0,160,1,44
Google Maps,Evernote,0,162,1,2
Google Maps,EveryTrail,0,163,1,2
Google Maps,Expedia,0,165,1,4
Google Maps,Facebook Social Plugins,0,167,1,18
Google Maps,Factual,0,168,1,4
Google Maps,FedEx,0,173,1,10
Google Maps,FeedBurner,0,174,1,6
Google Maps,GreatSchools,0,179,1,4
Google Maps,Fitbit,0,182,1,2
Google Maps,Windows Sidebar Gadgets,0,184,1,2
Google Maps,Forecast,0,185,1,4
Google Maps,foursquare,0,187,1,84
Google Maps,Freebase,0,188,1,18
Google Maps,Facebook Graph,0,191,1,20
Google Maps,Google Talk,0,192,1,4
Google Maps,Smugmug,0,193,1,2
Google Maps,Yahoo Internet Location Platform,0,197,1,10
Google Maps,Yahoo Ads,0,201,1,2
Google Maps,Akismet,0,202,1,2
Google Maps,Geograph,0,204,1,2
Google Maps,Bebo,0,205,1,6
Google Maps,Amazon SimpleDB,0,207,1,4
Google Maps,ArcWeb,0,208,1,2
Google Maps,Songkick,0,210,1,2
Google Maps,Compete,0,218,1,8
Google Maps,Dapper,0,220,1,8
Google Maps,DBpedia,0,221,1,6
Google Maps,del.icio.us,0,222,1,32
Google Maps,Google Client Authentication,0,223,1,8
Google Maps,Discogs,0,225,1,2
Google Maps,Disqus,0,226,1,8
Google Maps,JamBase,0,228,1,2
Google Maps,BigTribe,0,229,1,14
Google Maps,FUTEF Wikipedia API,0,233,1,4
Google Maps,GeoIQ,0,234,1,6
Google Maps,Google Web Authentication,0,236,1,2
Google Maps,Google Checkout,0,237,1,4
Google Maps,Google Gears,0,238,1,2
Google Maps,GovTrack.us,0,239,1,2
Google Maps,Hi5,0,242,1,4
Google Maps,Simply Hired Jobs,0,246,1,4
Google Maps,Lat49,0,247,1,6
Google Maps,Garmin MotionBased,0,252,1,2
Google Maps,Yahoo My Web Search,0,253,1,2
Google Maps,Oodle,0,259,1,30
Google Maps,OpenDOAR,0,260,1,2
Google Maps,OpenLayers,0,261,1,18
Google Maps,Photobucket,0,266,1,4
Google Maps,Calais,0,272,1,2
Google Maps,SecondLife,0,273,1,2
Google Maps,Google Single SignOn,0,274,1,4
Google Maps,Weather Channel,0,276,1,36
Google Maps,We Feel Fine,0,278,1,4
Google Maps,SpokenBuzz,0,282,1,2
Google Maps,Yahoo Answers,0,285,1,10
Google Maps,Technorati,0,286,1,22
Google Maps,City and State by Zip Code,0,287,1,2
Google Maps,Alexa Top Sites,0,289,1,2
Google Maps,Yahoo Shopping,0,292,1,2
Google Maps,Google Social Graph,0,293,1,2
Google Maps,ESRI ArcGIS JavaScript,0,294,1,2
Google Maps,Map24 AJAX,0,296,1,6
Google Maps,Digg,0,298,1,16
Google Maps,ESV Bible Lookup,0,299,1,2
Google Maps,Windows Live Expo,0,300,1,2
Google Maps,Friendster,0,303,1,2
Google Maps,Get Satisfaction,0,304,1,2
Google Maps,Google Apps Email Migration,0,305,1,2
Google Maps,Google Code Search,0,306,1,2
Google Maps,Google Contacts,0,307,1,4
Google Maps,Google Homepage,0,308,1,16
Google Maps,Google Spreadsheets,0,309,1,10
Google Maps,Google Static Maps,0,310,1,46
Google Maps,Internet Archive,0,312,1,2
Google Maps,Meetup,0,315,1,8
Google Maps,Microsoft MSDN,0,317,1,4
Google Maps,Google Picasa,0,319,1,18
Google Maps,Kayak,0,322,1,14
Google Maps,Skyhook Wireless,0,323,1,2
Google Maps,SplogSpot,0,324,1,2
Google Maps,ThisNext,0,325,1,2
Google Maps,Google Translate,0,326,1,24
Google Maps,Weblogs,0,327,1,2
Google Maps,ZoomInfo,0,333,1,2
Google Maps,Zvents,0,335,1,14
Google Maps,Lyricsfly,0,338,1,4
Google Maps,Plaxo,0,339,1,4
Google Maps,CNET,0,340,1,2
Google Maps,InnerGears Weather by City,0,341,1,2
Google Maps,LibraryThing,0,342,1,2
Google Maps,SNOCAP,0,343,1,2
Google Maps,Tinylink,0,344,1,2
Google Maps,TradeSports,0,346,1,2
Google Maps,Yahoo Traffic,0,347,1,16
Google Maps,Tumblr,0,350,1,4
Google Maps,Rentometer,0,352,1,2
Google Maps,Netvibes,0,353,1,2
Google Maps,W3Counter,0,354,1,2
Google Maps,23,0,356,1,4
Google Maps,GlobeXplorer,0,358,1,2
Google Maps,Sunlight Labs Congress,0,359,1,2
Google Maps,WebAIM,0,360,1,2
Google Maps,WebThumb,0,361,1,2
Google Maps,WhatCounts,0,365,1,2
Google Maps,MyVox,0,371,1,2
Google Maps,Yahoo Site Explorer,0,374,1,2
Google Maps,Yahoo Travel,0,375,1,4
Google Maps,Google Custom Search,0,376,1,20
Google Maps,Adobe on AIR Bus Tour,0,378,1,8
Google Maps,Twitter Streaming,0,381,1,6
Google Maps,geocoder,0,388,1,68
Google Maps,GeoNames,0,390,1,106
Google Maps,Gigya,0,394,1,2
Google Maps,Google Buzz,0,399,1,4
Google Maps,Google Drive,0,400,1,2
Google Maps,Google Fusion Tables,0,401,1,30
Google Maps,Google Gmail OAuth,0,402,1,4
Google Maps,Google Plus,0,403,1,8
Google Maps,Google Shopping Search,0,404,1,2
